word,series_frequency,english_frequency,filter_reason,vocabulary_level
host,16,62147306,Oxford 3000,B2
daddy,14,9928046,Easy word (easy_words.csv),N/A
guest,12,79375729,Oxford 3000,A2
anything,12,75999346,Oxford 3000,A1
dream,10,52657185,Oxford 3000,A2
enough,9,83592616,Oxford 3000,A2
told,8,57248600,"High English frequency (57,248,600 > 20,000,000)",N/A
beautiful,8,58503804,Oxford 3000,A1
myself,7,37983649,Oxford 3000,A2
son,7,71254769,Oxford 3000,A1
hurt,7,15892533,Oxford 3000,A2
sleep,6,34887707,Oxford 3000,A1
father,6,54388623,Oxford 3000,A1
nothing,5,73363579,Oxford 3000,A2
choose,5,90010174,Oxford 3000,A1
came,5,73311488,"High English frequency (73,311,488 > 20,000,000)",N/A
dark,5,50740032,Oxford 3000,A1
wrong,5,49934294,Oxford 3000,A1
anyone,5,74326492,Oxford 3000,A2
hear,4,49163786,"High English frequency (49,163,786 > 20,000,000)",A1
afraid,4,10858793,Oxford 3000,A2
morning,4,55268727,Oxford 3000,A1
path,4,54711903,Oxford 3000,A2
stay,4,86241601,Oxford 3000,A1
seem,4,92129504,Oxford 3000,N/A
guy,4,82889911,Oxford 3000,A2
mine,4,34337711,Oxford 3000,A2
drink,4,40392266,Oxford 3000,A1
fine,4,75242969,Oxford 3000,A1
sweet,4,35276616,Oxford 3000,A1
pull,4,22908540,Oxford 3000,A2
wanted,4,63301836,"High English frequency (63,301,836 > 20,000,000)",N/A
half,4,87382264,Oxford 3000,A2
feeling,3,37845806,Easy word (easy_words.csv),B1
lose,3,24136984,Oxford 3000,A2
understand,3,65846056,Oxford 3000,A1
believe,3,75918053,Oxford 3000,A2
hat,3,35813798,Oxford 3000,A1
went,3,68130142,"High English frequency (68,130,142 > 20,000,000)",N/A
mountain,3,69961397,Oxford 3000,A2
mind,3,84923564,Oxford 3000,B1
trying,3,57462639,"High English frequency (57,462,639 > 20,000,000)",N/A
saying,3,38415068,Easy word (easy_words.csv),C2
everyone,3,64547036,Oxford 3000,A2
turn,3,97589879,Oxford 3000,A2
gave,3,36576222,"High English frequency (36,576,222 > 20,000,000)",N/A
shot,3,61225531,Oxford 3000,B2
unless,3,52436419,Oxford 3000,B1
narrative,3,6865202,Oxford 3000,C2
roll,3,39810763,Oxford 3000,B1
stop,3,86868060,Oxford 3000,A1
hang,3,13364783,Oxford 3000,B1
deep,3,53536903,Oxford 3000,A2
happened,3,24951096,"High English frequency (24,951,096 > 20,000,000)",N/A
behavior,3,37145825,"High English frequency (37,145,825 > 20,000,000)",N/A
maybe,3,51946944,Oxford 3000,A2
shoot,3,15221977,Easy word (easy_words.csv),B1
