word,series_frequency,english_frequency,filter_reason,vocabulary_level
okay,33,15466771,Easy word (easy_words.csv),N/A
sorry,21,35595812,Oxford 3000,A1
door,14,76868330,Oxford 3000,A1
whatever,11,31901912,Oxford 3000,B1
doing,10,81188350,"High English frequency (81,188,350 > 20,000,000)",A2
wait,9,41363575,Oxford 3000,A1
mom,9,39068727,"High English frequency (39,068,727 > 20,000,000)",A2
stop,9,86868060,Oxford 3000,A1
actually,8,69444655,Oxford 3000,A2
everyone,8,64547036,Oxford 3000,A2
sure,7,110687855,Oxford 3000,A2
matter,7,96529766,Easy word (easy_words.csv),A2
cool,7,57131174,Oxford 3000,A2
ever,7,100646034,Oxford 3000,A2
enough,6,83592616,Oxford 3000,A2
kill,6,31335290,Oxford 3000,A2
cause,6,65904680,Oxford 3000,B2
percent,6,94322095,"High English frequency (94,322,095 > 20,000,000)",B1
someone,5,76553113,Oxford 3000,A2
moment,5,47882449,Oxford 3000,A2
kind,5,104902454,Oxford 3000,A1
meet,5,111036271,Oxford 3000,A1
least,5,111229798,Oxford 3000,B1
later,5,84945415,Oxford 3000,A2
anything,5,75999346,Oxford 3000,A1
clean,5,46556374,Oxford 3000,A1
fine,5,75242969,Oxford 3000,A1
owe,5,4425354,Oxford 3000,B1
maybe,5,51946944,Oxford 3000,A2
dad,5,16837773,Easy word (easy_words.csv),A1
hate,5,23308836,Oxford 3000,A2
situation,5,59151157,Oxford 3000,B1
guy,5,82889911,Oxford 3000,A2
serious,5,38316678,Oxford 3000,B1
straight,5,32760917,Oxford 3000,A2
morning,4,55268727,Oxford 3000,A1
liked,4,11282738,Vocabulary level below C (A2),A2
knew,4,31636418,"High English frequency (31,636,418 > 20,000,000)",B2
whole,4,85317360,Oxford 3000,A2
else,4,96020036,Oxford 3000,A2
front,4,102871721,Oxford 3000,B1
wanted,4,63301836,"High English frequency (63,301,836 > 20,000,000)",A2
trying,4,57462639,"High English frequency (57,462,639 > 20,000,000)",A2
bad,4,95146098,Oxford 3000,A1
cute,4,17912721,Vocabulary level below C (A2),A2
close,4,107853068,Oxford 3000,A1
mad,4,16741838,Oxford 3000,A2
amazing,3,26630190,Oxford 3000,A2
loved,3,19719299,Vocabulary level below C (A2),A2
felt,3,33507506,"High English frequency (33,507,506 > 20,000,000)",A2
happened,3,24951096,"High English frequency (24,951,096 > 20,000,000)",A2
pound,3,31442489,Oxford 3000,A2
