word,series_frequency,english_frequency,filter_reason,vocabulary_level
guy,8,82889911,Oxford 3000,A2
stop,7,86868060,Oxford 3000,A1
dog,6,105671993,Oxford 3000,A1
cash,6,79273690,Oxford 3000,A2
brother,5,56375413,Oxford 3000,A1
wait,5,41363575,Oxford 3000,A1
poor,5,48168685,Oxford 3000,A1
cat,5,62574939,Oxford 3000,A1
wife,5,47510357,Oxford 3000,A1
bit,5,102061114,Oxford 3000,A2
sorry,5,35595812,Oxford 3000,A1
dollar,4,75411886,Oxford 3000,A1
son,4,71254769,Oxford 3000,A1
happened,4,24951096,"High English frequency (24,951,096 > 20,000,000)",N/A
terrible,4,8653557,Oxford 3000,A2
coming,4,70099649,"High English frequency (70,099,649 > 20,000,000)",N/A
enough,4,83592616,Oxford 3000,A2
guess,4,29330172,Oxford 3000,A2
sir,4,20704773,Oxford 3000,B1
boss,4,16262055,Oxford 3000,A2
promise,4,16019259,Oxford 3000,B1
death,4,94459595,Oxford 3000,B1
kill,4,31335290,Oxford 3000,A2
doing,3,81188350,"High English frequency (81,188,350 > 20,000,000)",N/A
couple,3,58208821,Oxford 3000,B1
beautiful,3,58503804,Oxford 3000,A1
plane,3,24246018,Oxford 3000,A1
five,3,104165769,Oxford 3000,A1
bet,3,19562562,Oxford 3000,C1
moment,3,47882449,Oxford 3000,A2
crazy,3,23174564,Oxford 3000,A2
dead,3,48412882,Oxford 3000,A2
hide,3,28857707,Oxford 3000,B1
told,3,57248600,"High English frequency (57,248,600 > 20,000,000)",N/A
sit,3,24359793,Oxford 3000,A1
later,3,84945415,Oxford 3000,A2
treasure,3,13828038,Vocabulary level below C (B2),B2
knew,3,31636418,"High English frequency (31,636,418 > 20,000,000)",N/A
sword,3,11815118,Vocabulary level below C (B2),B2
went,3,68130142,"High English frequency (68,130,142 > 20,000,000)",N/A
trying,3,57462639,"High English frequency (57,462,639 > 20,000,000)",N/A
having,3,109360096,"High English frequency (109,360,096 > 20,000,000)",N/A
hear,3,49163786,"High English frequency (49,163,786 > 20,000,000)",A1
embassy,3,9129526,Vocabulary level below C (B1),B1
visa,3,22903835,"High English frequency (22,903,835 > 20,000,000)",B1
intel,3,29038707,"High English frequency (29,038,707 > 20,000,000)",N/A
took,3,66297175,"High English frequency (66,297,175 > 20,000,000)",N/A
wanted,3,63301836,"High English frequency (63,301,836 > 20,000,000)",N/A
higher,3,82593807,"High English frequency (82,593,807 > 20,000,000)",N/A
closed,3,41782645,Oxford 3000,A1
correction,2,29236164,"High English frequency (29,236,164 > 20,000,000)",B1
honey,2,10476847,Vocabulary level below C (A2),A2
flying,2,17948471,Oxford 3000,N/A
bought,2,31501377,"High English frequency (31,501,377 > 20,000,000)",N/A
turn,2,97589879,Oxford 3000,A2
longer,2,54063969,"High English frequency (54,063,969 > 20,000,000)",N/A
hidden,2,26526402,"High English frequency (26,526,402 > 20,000,000)",B1
boat,2,49704793,Oxford 3000,A1
killed,2,23240536,"High English frequency (23,240,536 > 20,000,000)",N/A
watching,2,21543474,"High English frequency (21,543,474 > 20,000,000)",N/A
came,2,73311488,"High English frequency (73,311,488 > 20,000,000)",N/A
ever,2,100646034,Oxford 3000,A2
mine,2,34337711,Oxford 3000,A2
bad,2,95146098,Oxford 3000,A1
everybody,2,14705200,Oxford 3000,A2
spending,2,19521910,Oxford 3000,C2
apartment,2,69339429,Oxford 3000,A2
happen,2,47239250,Oxford 3000,A2
bury,2,3091991,Oxford 3000,B1
pirate,2,10839927,Vocabulary level below C (B1),B1
fortune,2,12387313,Oxford 3000,B2
someone,2,76553113,Oxford 3000,A2
somewhere,2,14335599,Oxford 3000,A2
plus,2,94974186,Oxford 3000,A2
military,2,71379973,Oxford 3000,B2
thinking,2,41347669,Oxford 3000,N/A
dealer,2,51642165,"High English frequency (51,642,165 > 20,000,000)",B2
leader,2,74333999,Oxford 3000,B1
nothing,2,73363579,Oxford 3000,A2
led,2,49275665,"High English frequency (49,275,665 > 20,000,000)",N/A
ahead,2,28375319,Oxford 3000,B1
excuse,2,6390272,Oxford 3000,B1
sure,2,110687855,Oxford 3000,A2
guarantee,2,46277955,Oxford 3000,B2
perfect,2,60242920,Oxford 3000,A2
waiting,2,30170505,"High English frequency (30,170,505 > 20,000,000)",N/A
maybe,2,51946944,Oxford 3000,A2
hood,2,13238794,Vocabulary level below C (B2),B2
myself,2,37983649,Oxford 3000,A2
far,2,93277601,Oxford 3000,A2
mother,2,66782465,Oxford 3000,A1
passport,2,10584035,Oxford 3000,A2
enjoy,2,54157761,Oxford 3000,A1
advantage,2,45532673,Oxford 3000,B1
woman,2,71398090,Oxford 3000,A1
paid,2,60294928,"High English frequency (60,294,928 > 20,000,000)",N/A
already,2,108324565,Oxford 3000,A2
uncle,2,8649726,Oxford 3000,A2
gave,2,36576222,"High English frequency (36,576,222 > 20,000,000)",N/A
weekend,2,45215385,Oxford 3000,A1
kiss,2,17375996,Oxford 3000,A2
straight,2,32760917,Oxford 3000,A2
somebody,2,11159741,Easy word (easy_words.csv),A2
meet,2,111036271,Oxford 3000,A1
fresh,2,38781893,Oxford 3000,A2
meat,2,19820582,Oxford 3000,A1
together,2,94482864,Oxford 3000,A1
propose,2,6292372,Oxford 3000,B2
tired,2,11158233,Oxford 3000,A1
move,2,70113140,Oxford 3000,A2
behind,2,53892722,Oxford 3000,A1
stand,2,65383320,Oxford 3000,A2
tree,2,87001068,Oxford 3000,A1
anyone,2,74326492,Oxford 3000,A2
newspaper,2,45054014,Oxford 3000,A1
hundred,1,39367996,Oxford 3000,A2
ton,1,19515304,Vocabulary level below C (B2),B2
satisfy,1,11742258,Oxford 3000,B2
needed,1,76528079,"High English frequency (76,528,079 > 20,000,000)",N/A
modern,1,57150843,Oxford 3000,A2
demand,1,56701899,Oxford 3000,B1
feet,1,57226055,"High English frequency (57,226,055 > 20,000,000)",N/A
rainforest,1,2819838,Vocabulary level below C (B1),B1
ground,1,73622412,Oxford 3000,B1
built,1,61522194,"High English frequency (61,522,194 > 20,000,000)",N/A
leaf,1,37317352,Oxford 3000,B1
powder,1,13908965,Oxford 3000,B1
produced,1,39030637,"High English frequency (39,030,637 > 20,000,000)",N/A
grand,1,57003112,Oxford 3000,C1
kilo,1,702703,Vocabulary level below C (A2),A2
billion,1,35058259,Oxford 3000,B2
cousin,1,6460959,Oxford 3000,A2
chemist,1,3158203,Vocabulary level below C (A2),A2
coffee,1,42858323,Oxford 3000,A1
funny,1,34894102,Oxford 3000,A1
cola,1,4530545,Vocabulary level below C (A2),A2
german,1,56375982,"High English frequency (56,375,982 > 20,000,000)",N/A
scientist,1,25555810,Oxford 3000,B1
fool,1,10735163,Easy word (easy_words.csv),B1
prize,1,16204739,Oxford 3000,A2
taken,1,87019836,"High English frequency (87,019,836 > 20,000,000)",N/A
hold,1,82741121,Oxford 3000,A2
dear,1,20825714,Oxford 3000,A1
murderer,1,2032414,Vocabulary level below C (B1),B1
resolve,1,10441751,Oxford 3000,C1
asking,1,19887691,Easy word (easy_words.csv),N/A
themself,1,47355436,Oxford 3000,N/A
suddenly,1,11523262,Oxford 3000,B1
washing,1,8305567,Oxford 3000,N/A
machine,1,107452209,Oxford 3000,A2
tried,1,34201786,"High English frequency (34,201,786 > 20,000,000)",N/A
profitable,1,4725403,Vocabulary level below C (B2),B2
taxi,1,7292568,Oxford 3000,A1
successful,1,43041696,Oxford 3000,B1
stone,1,55106393,Oxford 3000,B1
oil,1,91718585,Oxford 3000,A2
shiny,1,3192674,Oxford 3000,B1
town,1,103816479,Oxford 3000,A1
happy,1,63486618,Oxford 3000,A1
matter,1,96529766,Easy word (easy_words.csv),A2
kept,1,27838368,"High English frequency (27,838,368 > 20,000,000)",N/A
farm,1,57843397,Oxford 3000,A1
fly,1,33412987,Oxford 3000,A1
cut,1,74169573,Oxford 3000,A2
wall,1,74268226,Oxford 3000,A1
ceiling,1,12534952,Oxford 3000,A2
stuck,1,9120620,Easy word (easy_words.csv),B2
mom,1,39068727,"High English frequency (39,068,727 > 20,000,000)",N/A
comfortable,1,19520487,Oxford 3000,A2
sofa,1,6581358,Vocabulary level below C (A2),A2
banker,1,6620479,Vocabulary level below C (B2),B2
called,1,106978150,"High English frequency (106,978,150 > 20,000,000)",N/A
accountant,1,8750621,Vocabulary level below C (B1),B1
looked,1,31988351,"High English frequency (31,988,351 > 20,000,000)",N/A
trick,1,18230658,Oxford 3000,B1
itself,1,51076716,Oxford 3000,A2
inevitable,1,3872819,Easy word (easy_words.csv),C1
pig,1,11253390,Oxford 3000,A1
police,1,64560602,Oxford 3000,A2
ninth,1,4390562,Vocabulary level below C (A2),A2
half,1,87382264,Oxford 3000,A2
sister,1,35155790,Oxford 3000,A1
soft,1,39603430,Oxford 3000,A2
familiar,1,16463805,Easy word (easy_words.csv),B1
intellectual,1,20679287,"High English frequency (20,679,287 > 20,000,000)",B2
professor,1,45107397,Oxford 3000,B1
symbol,1,36364641,Oxford 3000,B2
museum,1,58254664,Oxford 3000,A1
buddy,1,28145735,"High English frequency (28,145,735 > 20,000,000)",N/A
girlfriend,1,7838114,Oxford 3000,A2
independence,1,14412277,Vocabulary level below C (B2),B2
empire,1,23736077,"High English frequency (23,736,077 > 20,000,000)",C1
stroke,1,15173206,Vocabulary level below C (B2),B2
genius,1,7191629,Easy word (easy_words.csv),C1
marketing,1,109642463,Oxford 3000,B2
famous,1,29332023,Oxford 3000,A1
overnight,1,13251013,Vocabulary level below C (B1),B1
gif,1,55673869,"High English frequency (55,673,869 > 20,000,000)",N/A
lion,1,18511993,Oxford 3000,A2
completed,1,54810628,"High English frequency (54,810,628 > 20,000,000)",N/A
trip,1,65448610,Oxford 3000,A2
afternoon,1,19441492,Oxford 3000,A1
mrs,1,12206596,Vocabulary level below C (A1),A1
either,1,99143011,Oxford 3000,B1
talking,1,36617848,"High English frequency (36,617,848 > 20,000,000)",N/A
brought,1,39794764,"High English frequency (39,794,764 > 20,000,000)",N/A
indeed,1,26943016,Oxford 3000,B1
difficult,1,42436311,Oxford 3000,A1
politic,1,53458717,Oxford 3000,N/A
worry,1,16187062,Oxford 3000,A2
everything,1,91495139,Oxford 3000,A2
yourself,1,53653034,Oxford 3000,A2
known,1,86436041,"High English frequency (86,436,041 > 20,000,000)",B2
generosity,1,1713113,Vocabulary level below C (B2),B2
heard,1,45436523,"High English frequency (45,436,523 > 20,000,000)",N/A
compared,1,34638205,"High English frequency (34,638,205 > 20,000,000)",N/A
born,1,52510893,Oxford 3000,N/A
asked,1,75532722,"High English frequency (75,532,722 > 20,000,000)",N/A
exist,1,43987192,Oxford 3000,B1
touch,1,39762539,Oxford 3000,B1
hospital,1,78835222,Oxford 3000,A1
athletic,1,26727816,"High English frequency (26,727,816 > 20,000,000)",B2
construction,1,90302134,Oxford 3000,B2
political,1,82021775,Oxford 3000,B1
none,1,85548408,Oxford 3000,B1
decade,1,22089752,Oxford 3000,B2
wealthy,1,3345627,Oxford 3000,B2
dream,1,52657185,Oxford 3000,A2
believe,1,75918053,Oxford 3000,A2
exhausted,1,2669693,Vocabulary level below C (B1),B1
clean,1,46556374,Oxford 3000,A1
journalist,1,13561382,Oxford 3000,B1
dangerous,1,16909821,Oxford 3000,A2
standing,1,34637239,"High English frequency (34,637,239 > 20,000,000)",N/A
forgive,1,3379266,Oxford 3000,B1
apologize,1,2591938,Oxford 3000,N/A
saw,1,50570151,"High English frequency (50,570,151 > 20,000,000)",N/A
herself,1,13479005,Oxford 3000,A2
unlike,1,12933815,Oxford 3000,B2
inside,1,74360351,Oxford 3000,A1
hang,1,13364783,Oxford 3000,B1
amazing,1,26630190,Oxford 3000,A2
truth,1,37860395,Oxford 3000,B2
drink,1,40392266,Oxford 3000,A1
tap,1,11461179,Vocabulary level below C (B1),B1
missing,1,35813046,Oxford 3000,A2
fine,1,75242969,Oxford 3000,A1
offering,1,43157600,"High English frequency (43,157,600 > 20,000,000)",N/A
wrong,1,49934294,Oxford 3000,A1
luck,1,16773261,Easy word (easy_words.csv),A2
whose,1,43634263,Oxford 3000,B1
block,1,69578980,Oxford 3000,B1
bed,1,82564175,Oxford 3000,A1
agree,1,54812386,Oxford 3000,A2
everyone,1,64547036,Oxford 3000,A2
met,1,45111009,"High English frequency (45,111,009 > 20,000,000)",N/A
introduced,1,29783908,"High English frequency (29,783,908 > 20,000,000)",N/A
retired,1,10914144,Oxford 3000,B2
eat,1,32034082,Oxford 3000,A1
advise,1,8325087,Oxford 3000,B1
threat,1,28395916,Oxford 3000,B2
countryside,1,5045608,Oxford 3000,A2
classified,1,61711730,"High English frequency (61,711,730 > 20,000,000)",N/A
unusual,1,12459909,Vocabulary level below C (A2),A2
suggest,1,51528961,Oxford 3000,B1
confirm,1,25689169,Oxford 3000,B1
ambassador,1,7363292,Vocabulary level below C (B2),B2
agent,1,106654961,Oxford 3000,B2
signature,1,33012896,"High English frequency (33,012,896 > 20,000,000)",B1
base,1,81894680,Oxford 3000,B2
fancy,1,9057761,Oxford 3000,B1
helped,1,21000656,"High English frequency (21,000,656 > 20,000,000)",N/A
seen,1,78381896,"High English frequency (78,381,896 > 20,000,000)",N/A
least,1,111229798,Oxford 3000,B1
roof,1,16362969,Oxford 3000,A2
bring,1,74972410,Oxford 3000,A2
himself,1,39757666,Oxford 3000,A2
pool,1,60024599,Oxford 3000,A2
train,1,40164074,Oxford 3000,A1
soldier,1,26207707,Oxford 3000,B1
knowledge,1,89879571,Oxford 3000,B1
clear,1,90182619,Oxford 3000,A2
manage,1,41311660,Oxford 3000,B1
aspect,1,43728930,Oxford 3000,B2
receive,1,88328938,Oxford 3000,A2
finally,1,48999091,Oxford 3000,A2
heart,1,103511284,Oxford 3000,A2
forget,1,25685480,Oxford 3000,A2
hat,1,35813798,Oxford 3000,A1
getting,1,93506861,"High English frequency (93,506,861 > 20,000,000)",N/A
pretty,1,51699969,Oxford 3000,A2
willing,1,18418634,Oxford 3000,C2
