word,series_frequency,english_frequency,filter_reason,vocabulary_level
maybe,12,51946944,Oxford 3000,A2
guy,11,82889911,Oxford 3000,A2
heard,10,45436523,"High English frequency (45,436,523 > 20,000,000)",N/A
sir,10,20704773,Oxford 3000,B1
anything,10,75999346,Oxford 3000,A1
dinner,9,27843687,Oxford 3000,A1
hear,8,49163786,"High English frequency (49,163,786 > 20,000,000)",A1
hold,7,82741121,Oxford 3000,A2
believe,7,75918053,Oxford 3000,A2
nothing,7,73363579,Oxford 3000,A2
outside,6,67458757,Oxford 3000,A1
woman,6,71398090,Oxford 3000,A1
missing,6,35813046,Oxford 3000,A2
sorry,6,35595812,Oxford 3000,A1
pick,5,55170145,Oxford 3000,B1
knew,5,31636418,"High English frequency (31,636,418 > 20,000,000)",N/A
anybody,5,10367449,Oxford 3000,A2
okay,5,15466771,Easy word (easy_words.csv),N/A
door,5,76868330,Oxford 3000,A1
drink,5,40392266,Oxford 3000,A1
somebody,5,11159741,Easy word (easy_words.csv),A2
stop,5,86868060,Oxford 3000,A1
mind,5,84923564,Oxford 3000,B1
saying,5,38415068,Easy word (easy_words.csv),C2
police,5,64560602,Oxford 3000,A2
couple,5,58208821,Oxford 3000,B1
went,5,68130142,"High English frequency (68,130,142 > 20,000,000)",N/A
told,5,57248600,"High English frequency (57,248,600 > 20,000,000)",N/A
till,4,16477131,Oxford 3000,A2
looked,4,31988351,"High English frequency (31,988,351 > 20,000,000)",N/A
ahead,4,28375319,Oxford 3000,B1
seen,4,78381896,"High English frequency (78,381,896 > 20,000,000)",N/A
talking,4,36617848,"High English frequency (36,617,848 > 20,000,000)",N/A
stay,4,86241601,Oxford 3000,A1
tomorrow,4,21262762,Oxford 3000,A1
daddy,4,9928046,Easy word (easy_words.csv),N/A
morning,4,55268727,Oxford 3000,A1
asked,4,75532722,"High English frequency (75,532,722 > 20,000,000)",N/A
stuff,4,82013389,Oxford 3000,B1
sleep,4,34887707,Oxford 3000,A1
