word,series_frequency,english_frequency,filter_reason,vocabulary_level
okay,54,15466771,Easy word (easy_words.csv),N/A
dad,43,16837773,Easy word (easy_words.csv),A1
sorry,26,35595812,Oxford 3000,A1
playing,15,51019438,"High English frequency (51,019,438 > 20,000,000)",A2
birthday,14,33891046,Oxford 3000,A1
guy,14,82889911,Oxford 3000,A2
nice,12,69395609,Oxford 3000,A1
happy,11,63486618,Oxford 3000,A1
laugh,11,12662275,Oxford 3000,A2
fine,10,75242969,Oxford 3000,A1
coming,7,70099649,"High English frequency (70,099,649 > 20,000,000)",A2
surprise,7,14644385,Oxford 3000,A2
hear,7,49163786,"High English frequency (49,163,786 > 20,000,000)",A1
stupid,6,14144754,Oxford 3000,B1
talking,6,36617848,"High English frequency (36,617,848 > 20,000,000)",A2
serious,6,38316678,Oxford 3000,B1
everything,6,91495139,Oxford 3000,A2
lunch,6,22097455,Oxford 3000,A1
trust,6,61432231,Oxford 3000,B1
hold,5,82741121,Oxford 3000,A2
blow,5,33901158,Oxford 3000,B1
quite,5,58809324,Oxford 3000,A2
laughing,5,5900004,Easy word (easy_words.csv),N/A
wait,5,41363575,Oxford 3000,A1
mom,5,39068727,"High English frequency (39,068,727 > 20,000,000)",A2
throw,5,23258699,Oxford 3000,A2
cool,5,57131174,Oxford 3000,A2
sir,5,20704773,Oxford 3000,B1
dollar,5,75411886,Oxford 3000,A1
woman,4,71398090,Oxford 3000,A1
listen,4,44504101,Oxford 3000,A1
hope,4,83608473,Oxford 3000,A2
whole,4,85317360,Oxford 3000,A2
cause,4,65904680,Oxford 3000,B2
soft,4,39603430,Oxford 3000,A2
actually,4,69444655,Oxford 3000,A2
guess,4,29330172,Oxford 3000,A2
uncle,4,8649726,Oxford 3000,A2
excuse,4,6390272,Oxford 3000,B1
doing,4,81188350,"High English frequency (81,188,350 > 20,000,000)",A2
stepping,4,3348507,Vocabulary level below C (A2),A2
seriously,4,14915797,Oxford 3000,B1
double,4,80997067,Oxford 3000,A2
ten,4,50614853,Oxford 3000,A1
son,4,71254769,Oxford 3000,A1
politic,4,53458717,Oxford 3000,N/A
wanted,4,63301836,"High English frequency (63,301,836 > 20,000,000)",A2
mind,4,84923564,Oxford 3000,B1
idea,4,65459222,Oxford 3000,A2
goe,4,47478275,"High English frequency (47,478,275 > 20,000,000)",C1
vote,4,90446691,Oxford 3000,B1
advice,4,71628494,Oxford 3000,A2
strategy,4,94031020,Oxford 3000,B2
thinking,4,41347669,Oxford 3000,N/A
helicopter,4,8211102,Oxford 3000,A2
boo,4,2884230,Vocabulary level below C (A2),A2
middle,3,70231951,Oxford 3000,B2
ready,3,62997942,"High English frequency (62,997,942 > 20,000,000)",A1
came,3,73311488,"High English frequency (73,311,488 > 20,000,000)",A2
hang,3,13364783,Oxford 3000,B1
exciting,3,16900145,Oxford 3000,A1
getting,3,93506861,"High English frequency (93,506,861 > 20,000,000)",A2
excellent,3,60316327,Oxford 3000,A2
morning,3,55268727,Oxford 3000,A1
anything,3,75999346,Oxford 3000,A1
brother,3,56375413,Oxford 3000,A1
speech,3,37706832,Oxford 3000,B1
ball,3,57083746,Oxford 3000,A1
ahead,3,28375319,Oxford 3000,B1
pal,3,12781647,Vocabulary level below C (A2),A2
cash,3,79273690,Oxford 3000,A2
shot,3,61225531,Oxford 3000,B2
talked,3,9582713,Vocabulary level below C (A2),A2
luck,3,16773261,Easy word (easy_words.csv),A2
bread,3,15131908,Oxford 3000,A1
daddy,3,9928046,Easy word (easy_words.csv),N/A
worry,3,16187062,Oxford 3000,A2
weekend,3,45215385,Oxford 3000,A1
someone,3,76553113,Oxford 3000,A2
seat,3,46137154,Oxford 3000,A2
stay,3,86241601,Oxford 3000,A1
firm,3,69741666,Oxford 3000,B1
whatever,3,31901912,Oxford 3000,B1
kidding,3,2613375,Easy word (easy_words.csv),N/A
competition,3,47798484,Oxford 3000,A2
running,3,72955000,Oxford 3000,A2
funny,3,34894102,Oxford 3000,A1
tough,3,13595406,Oxford 3000,B2
laughter,3,3783649,Oxford 3000,B2
kiss,3,17375996,Oxford 3000,A2
joking,3,1059257,Vocabulary level below C (A2),A2
dead,3,48412882,Oxford 3000,A2
hospital,3,78835222,Oxford 3000,A1
hop,2,24159115,"High English frequency (24,159,115 > 20,000,000)",C1
happen,2,47239250,Oxford 3000,A2
prize,2,16204739,Oxford 3000,A2
corrected,2,6122004,Easy word (easy_words.csv),N/A
christ,2,28486624,"High English frequency (28,486,624 > 20,000,000)",C1
buddy,2,28145735,"High English frequency (28,145,735 > 20,000,000)",A2
happened,2,24951096,"High English frequency (24,951,096 > 20,000,000)",A2
rape,2,52166558,"High English frequency (52,166,558 > 20,000,000)",B2
till,2,16477131,Oxford 3000,A2
pursue,2,8199767,Oxford 3000,C1
announce,2,22338270,Oxford 3000,B1
nobody,2,14624173,Easy word (easy_words.csv),A2
announcement,2,56529782,Oxford 3000,B1
obviously,2,15702193,Oxford 3000,B1
joining,2,10606585,Vocabulary level below C (A2),A2
everyone,2,64547036,Oxford 3000,A2
feeling,2,37845806,Easy word (easy_words.csv),B1
sort,2,92991770,"High English frequency (92,991,770 > 20,000,000)",A2
earlier,2,34079706,"High English frequency (34,079,706 > 20,000,000)",B2
smelled,2,666832,Vocabulary level below C (A2),A2
stuff,2,82013389,Oxford 3000,B1
alarm,2,21534294,Oxford 3000,B1
concerned,2,25490395,Oxford 3000,B2
fit,2,55284806,Oxford 3000,A2
corporate,2,85200397,Oxford 3000,C1
