word,series_frequency,english_frequency,vocabulary_level
drugged,1,371256,N/A
tortured,1,2338057,N/A
posed,1,3604888,N/A
looked,1,31988351,N/A
discussing,1,6770039,N/A
anti,1,61227238,N/A
happening,1,13986796,N/A
bout,1,3818689,N/A
grid,1,20949341,N/A
caught,1,17749748,N/A
mesa,1,6780960,N/A
looming,1,831822,N/A
creosote,1,211875,N/A
twine,1,443567,N/A
spine,1,5907774,C1
toward,1,66823223,N/A
touched,1,5080398,N/A
rattlesnake,1,521691,N/A
unfold,1,1733126,C1
seeing,1,26322092,N/A
lay,1,17973216,N/A
drift,1,4302997,C2
playhouse,1,1646694,N/A
reckoned,1,607006,N/A
notified,1,8617516,N/A
clutch,1,5040718,C1
bathe,1,578034,N/A
wondering,1,9239585,N/A
drove,1,5545848,N/A
rolled,1,6241330,N/A
lord,1,52474647,N/A
thee,1,8613804,N/A
headach,1,2685626,N/A
cleaning,1,29304405,N/A
bedtime,1,1503625,N/A
marine,1,40971252,N/A
gotten,1,7480306,N/A
gamin,1,141727,N/A
loopy,1,263368,N/A
moved,1,35713495,N/A
someplace,1,598811,N/A
torn,1,3569094,N/A
blindfold,1,418954,N/A
painted,1,10666710,N/A
tweaker,1,182793,N/A
dude,1,7556738,N/A
felt,1,33507506,N/A
remorse,1,639738,C2
tried,1,34201786,N/A
glue,1,4864382,C2
insanity,1,1935756,N/A
scope,1,25428833,C1
articulated,1,1648485,N/A
chum,1,801140,N/A
narrative,1,6865202,C2
interrogate,1,285248,N/A
sobered,1,58791,N/A
liked,1,11282738,N/A
introduced,1,29783908,N/A
broke,1,10460811,N/A
cutie,1,3305791,N/A
speeding,1,1964427,N/A
dorm,1,2502466,N/A
occupied,1,9165435,N/A
snuck,1,274495,N/A
ruined,1,1877804,N/A
decompress,1,268505,N/A
elk,1,5096574,N/A
held,1,76140043,N/A
afford,1,11202234,N/A
enforcement,1,23670942,N/A
flashback,1,1640671,C2
neural,1,5292673,N/A
intensity,1,10248504,C2
trafficking,1,3311336,N/A
fed,1,13348332,N/A
rumor,1,5977664,N/A
sealed,1,13733878,N/A
shee,1,321785,N/A
quaalude,1,0,N/A
downer,1,1089210,N/A
dopey,1,169040,N/A
shakedown,1,289090,N/A
whiskey,1,2179769,N/A
limp,1,2402938,N/A
touchy,1,395417,N/A
gaming,1,31594394,N/A
trailer,1,32492216,N/A
bust,1,5258179,N/A
impunity,1,666112,N/A
dropping,1,5094616,N/A
courthouse,1,2347505,N/A
keeping,1,25280309,N/A
pulling,1,5640701,N/A
implied,1,9050427,N/A
clothe,1,27345816,N/A
coupled,1,6560131,N/A
particularity,1,269277,N/A
loathing,1,720103,C2
worth,1,48099042,N/A
losing,1,12607223,N/A
snap,1,9490577,C2
picked,1,12114899,N/A
bayou,1,1397958,N/A
freeby,1,2555646,N/A
lease,1,17180592,N/A
tossin,1,17002,N/A
accusation,1,2374219,C1
nothin,1,1038914,N/A
hoping,1,8825881,N/A
tougher,1,1450525,N/A
stayin,1,153544,N/A
underage,1,1787414,N/A
holy,1,23780151,C1
equipped,1,12635856,N/A
screwin,1,0,N/A
decency,1,754590,N/A
stake,1,8777760,N/A
marked,1,17723745,N/A
became,1,37332761,N/A
dosing,1,1199682,N/A
upping,1,226476,N/A
knowing,1,14410719,N/A
flock,1,3268479,N/A
canvass,1,374883,N/A
redacted,1,440584,N/A
gif,1,55673869,N/A
tricycle,1,578543,N/A
driveway,1,2818710,N/A
lived,1,18050710,N/A
afterward,1,7473326,N/A
resented,1,287717,N/A
transferred,1,11023998,N/A
hitting,1,6061673,N/A
knocking,1,1630521,N/A
ripping,1,1582529,N/A
courier,1,8959056,N/A
inn,1,74976122,N/A
emptied,1,677794,N/A
crankhead,1,0,N/A
injecting,1,886905,N/A
infant,1,19632816,C2
crystal,1,34353005,C2
purify,1,697420,N/A
junkie,1,1294569,N/A
floater,1,433663,N/A
expiration,1,5536766,N/A
kept,1,27838368,N/A
killed,1,23240536,N/A
cartel,1,1139858,N/A
ended,1,32588866,N/A
rite,1,4519487,N/A
offered,1,50347350,N/A
jackpot,1,3307712,N/A
owed,1,2256361,N/A
favor,1,18267074,N/A
stayed,1,10286077,N/A
dignity,1,4122174,C2
yelling,1,1395556,N/A
changed,1,45453557,N/A
frustrated,1,3221201,C1
operas,1,812910,N/A
smaller,1,24982548,N/A
telling,1,14181895,N/A
makeup,1,6554321,N/A
bet,1,19562562,C1
spinning,1,4427224,N/A
tangled,1,1038220,N/A
paddle,1,3136401,N/A
wade,1,4871022,N/A
listening,1,19542217,N/A
disappearing,1,1263910,N/A
whiny,1,225341,N/A
penchant,1,430059,N/A
selective,1,5674677,C1
deafness,1,802253,N/A
buster,1,3498632,N/A
mommy,1,3288748,N/A
dinnertime,1,77839,N/A
coming,1,70099649,N/A
coma,1,1607183,N/A
blackness,1,388903,N/A
slipped,1,2410446,N/A
deeper,1,6910132,N/A
painlessly,1,144890,N/A
dying,1,9123557,N/A
grown,1,13931521,N/A
hubris,1,358069,N/A
nonexistence,1,87795,N/A
thresher,1,164998,N/A
sin,1,22203268,C2
vixen,1,1116707,N/A
brought,1,39794764,N/A
introducing,1,7835494,N/A
flying,1,17948471,N/A
squad,1,9722053,C2
tasked,1,598662,N/A
investigating,1,4884687,N/A
occult,1,1769403,N/A
rash,1,2806152,C2
mutilation,1,579555,N/A
defiled,1,199832,N/A
commander,1,11832701,C2
murdered,1,2843529,N/A
stepping,1,3348507,N/A
mandate,1,7104811,N/A
xerox,1,6022102,N/A
bothering,1,683314,N/A
jerk,1,3534323,N/A
kas,1,473827,N/A
senator,1,20520912,N/A
graffiti,1,3056453,N/A
whodunit,1,147372,N/A
stalling,1,635355,N/A
sake,1,6673422,N/A
dump,1,8142635,C1
spotlight,1,11097900,C2
teddy,1,6300478,N/A
spending,1,19521910,C2
headed,1,10058504,N/A
putting,1,18519708,N/A
asking,1,19887691,N/A
lump,1,3593482,C2
catching,1,4303583,N/A
crow,1,5886842,N/A
wanting,1,7463610,N/A
throwdown,1,226383,N/A
according,1,72553085,N/A
revival,1,3745519,C2
flyer,1,9403727,N/A
hallucinating,1,89301,N/A
trashed,1,396985,N/A
mainlining,1,0,N/A
universe,1,21643935,N/A
tvsubtitle,1,0,N/A
