expression,frequency,translation,idiomaticity_score,example
oh my god,4,о боже мой,9,N/A
i m sorry,4,мне жаль,8,N/A
whatever the fuck,2,что угодно,8,Like whatever the fuck you've done
i m telling you,2,я тебе говорю,8,N/A
having the best time,2,отлично проводим время,6,- I'm having the best time
i swear to god,2,клянусь богом,9,- I swear to God
that big of a deal,2,это так важно,7,"It's really not that big of a deal, Mr"
ruin my life,2,разрушить мою жизнь,8,"Look, I know you have the power to ruin my life right now"
don t you,2,разве ты не,7,N/A
no fucking way,2,не может быть,9,- No fucking way
it is a big deal,2,это важно,8,"No, it is a big deal"
this wasn t,2,это не было,5,N/A
a hundred percent,2,на сто процентов,5,"I mean, I'm a hundred percent straight"
i m gonna,2,я собираюсь,6,N/A
is everything okay,2,все в порядке?,6,Is everything okay
dressed like a hooker,2,одета как проститутка,7,"- Yo, why are dressed like a hooker"
s just going straight to voicemail,2,просто идет прямиком на голосовую почту,6,- It's just going straight to voicemail
ride the carousel,2,кататься на карусели,6,You wanna ride the carousel
lot of shit,2,много дерьма,7,"Look, I'm going through a lot of shit right now"
way you re full of shit,2,ты полон чепухи,9,N/A
the quiet room,2,тихая комната,7,And this is the quiet room
am i supposed to know,2,я должен знать?,5,"Well, how the fuck am I supposed to know which one you're at"
